,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11655,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19747443.0,19747443.0,False,,1,,,,2024-08-31T07:03:00.000Z,59160.61096287456,28911584094.073616,-11.876,-0.05031028,-0.26954691,-7.76904565,-7.87441831,-5.71445126,-12.70990097,1168270792834.5405,56.1471,1242372830220.37,,2024-08-31T07:03:00.000Z,,,,,,2024-08-31 17:03:35.732133
1,1027,Ethereum,ETH,ethereum,9254,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120303365.0220988,120303365.0220988,True,,2,,,,2024-08-31T07:02:00.000Z,2521.685597747604,14081413141.379333,0.8053,-0.03705781,-0.22683031,-8.5715866,-20.45620002,-26.76519598,-33.83030465,303367262936.7994,14.5748,303367262936.8,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
2,825,Tether USDt,USDT,tether,96058,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118225843080.77164,120251893183.99535,True,,3,,,,2024-08-31T07:02:00.000Z,1.000030752200232,48784270254.53092,-6.3778,0.007998,-0.002025,-0.05967371,0.03863472,0.11380714,0.0885923,118229478785.57066,5.682,120255591194.29,,2024-08-31T07:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-31 17:03:35.732133
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935008.1710073,145935008.1710073,False,,4,,,,2024-08-31T07:02:00.000Z,536.9371908692394,1563863942.9833963,0.8269,-0.00550703,0.58286329,-7.03337802,-5.53061868,-7.23187369,-10.73644224,78357933336.82016,3.7658,78357933336.82,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466457901.70466393,583513809.140929,True,,5,,,,2024-08-31T07:02:00.000Z,138.02475264842028,2355359606.446909,5.0435,0.23742502,-1.11488295,-10.50574437,-18.09988858,-6.45462434,-16.95279183,64382736503.68738,3.0932,80539349173.61,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
5,3408,USDC,USDC,usd-coin,21810,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34723549148.97461,34723549148.97461,False,,6,,,,2024-08-31T07:02:00.000Z,1.000060943190975,5263321017.633063,-18.4372,0.00526673,0.02149581,0.01396017,0.00339174,-0.00145468,0.00392785,34725665312.861725,1.6689,34725665312.86,,2024-08-31T07:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-31 17:03:35.732133
6,52,XRP,XRP,xrp,1374,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56251561168.0,99987294444.0,False,,7,,,,2024-08-31T07:03:00.000Z,0.5676806660217838,966695407.0108258,-3.3892,0.06445174,0.79605839,-7.17180062,-6.72336839,18.54332899,9.52607686,31932923708.61535,1.5347,56768066602.18,,2024-08-31T07:03:00.000Z,,,,,,2024-08-31 17:03:35.732133
7,74,Dogecoin,DOGE,dogecoin,1050,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145758366383.70526,145758366383.70526,True,,8,,,,2024-08-31T07:03:00.000Z,0.10160054952588306,569005694.0343548,20.5825,0.15014402,0.8896811,-9.65529386,-15.25747833,-17.53825156,-36.48430869,14809130122.579454,0.7117,14809130122.58,,2024-08-31T07:03:00.000Z,,,,,,2024-08-31 17:03:35.732133
8,1958,TRON,TRX,tron,1020,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86782689849.733,86782750934.4096,True,,9,71659659264.0,11270146137.88959,,2024-08-31T07:02:00.000Z,0.15727323090344955,470474448.8865426,9.1555,-0.76704207,-2.15652749,-2.47769181,21.9323577,22.62278725,38.77915489,13648594019.159506,0.6558,13648603626.14,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
9,11419,Toncoin,TON,toncoin,540,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2534866318.687279,5111204755.8479805,True,,10,3414166606.0,18288784371.5214,,2024-08-31T07:02:00.000Z,5.356734595019761,243341560.25267363,-19.6256,0.10287612,-1.69903758,-20.01462456,-20.25991328,-32.40671764,-16.01360648,13578606103.062534,0.6524,27379367337.88,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
10,2010,Cardano,ADA,cardano,1238,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-08-31T07:02:00.000Z,0.3495758634561029,274035473.79039866,-0.979,0.29865035,-1.8333852,-10.18916973,-9.01218136,-13.99492737,-22.86341314,12570972842.581455,0.6042,15730913855.52,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
11,5805,Avalanche,AVAX,avalanche,770,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,404920957.365246,444924057.365246,False,,12,,,,2024-08-31T07:02:00.000Z,23.14788459645415,220069222.57031882,-19.1607,-0.03550829,-0.55545704,-12.1415417,-8.41159724,-18.08707845,-35.82375919,9373063591.776445,0.4503,16568068747.47,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
12,5994,Shiba Inu,SHIB,shiba-inu,863,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270130010767.5,589519012031532.5,False,,13,,,,2024-08-31T07:02:00.000Z,1.3962569131938942e-05,180723509.5312344,-7.9733,0.05943196,-0.74928958,-8.21322527,-11.38421023,-18.42490048,-44.24739552,8227724927.661989,0.3953,8231199960.08,,2024-08-31T07:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-31 17:03:35.732133
13,1975,Chainlink,LINK,chainlink,1836,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-08-31T07:02:00.000Z,11.133435233252106,191267361.6131233,-0.184,-0.03521705,0.64559669,-6.79387918,-12.86644772,-24.02310793,-39.90191457,6770241636.37862,0.3253,11133435233.25,,2024-08-31T07:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-08-31 17:03:35.732133
14,1831,Bitcoin Cash,BCH,bitcoin-cash,917,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19754253.125,19754253.125,False,,15,,,,2024-08-31T07:02:00.000Z,325.7038038345502,157009483.55864868,-4.8512,0.05425332,0.34009048,-9.59750204,-22.2298317,-16.07852679,-29.82171896,6434035384.72305,0.3092,6839779880.53,,2024-08-31T07:02:00.000Z,,,,,,2024-08-31 17:03:35.732133
0,1,Bitcoin,BTC,bitcoin,11655,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19747443.0,19747443.0,False,,1,,,,2024-08-31T07:03:00.000Z,59160.61096287456,28911584094.073616,-11.876,-0.05031028,-0.26954691,-7.76904565,-7.87441831,-5.71445126,-12.70990097,1168270792834.5405,56.1471,1242372830220.37,,2024-08-31T07:03:00.000Z,,,,,,2024-08-31 17:04:36.785037
